Funding Org:Identifier_x,360G-Gulbenkian,GB-CHC-1000147,GB-CHC-1009195,GB-CHC-1015648,GB-CHC-1035628,GB-CHC-1045304,GB-CHC-1047625,GB-CHC-1050900,GB-CHC-1052061,GB-CHC-1057923,GB-CHC-1059652,GB-CHC-1075032,GB-CHC-1075120,GB-CHC-1075920,GB-CHC-1086516,GB-CHC-1087167,GB-CHC-1089893,GB-CHC-1091263,GB-CHC-1093028,GB-CHC-1094646,GB-CHC-1094935,GB-CHC-1096892,GB-CHC-1099977,GB-CHC-1102927,GB-CHC-1103314,GB-CHC-1103731,GB-CHC-1105580,GB-CHC-1109453,GB-CHC-1111600,GB-CHC-1113226,GB-CHC-1115476,GB-CHC-1123081,GB-CHC-1123126,GB-CHC-1126007,GB-CHC-1133342,GB-CHC-1138145,GB-CHC-1140372,GB-CHC-1144091,GB-CHC-1146484,GB-CHC-1151621,GB-CHC-1152596,GB-CHC-1154032,GB-CHC-1155954,GB-CHC-1160316,GB-CHC-1161290,GB-CHC-1164021,GB-CHC-1165225,GB-CHC-1166471,GB-CHC-1174463,GB-CHC-1180520,GB-CHC-1183004,GB-CHC-200051,GB-CHC-205629,GB-CHC-205856,GB-CHC-210291,GB-CHC-223554,GB-CHC-226446,GB-CHC-230260,GB-CHC-237725,GB-CHC-247941,GB-CHC-251988,GB-CHC-253481,GB-CHC-263294,GB-CHC-265647,GB-CHC-267618,GB-CHC-268369,GB-CHC-274100,GB-CHC-276976,GB-CHC-299963,GB-CHC-312800,GB-CHC-326340,GB-CHC-326568,GB-CHC-327114,GB-CHC-328524,GB-CHC-801875,GB-CHC-802052,GB-COH-00357963,GB-COH-02273708,GB-COH-04530979,GB-COH-04831118,GB-GOR-PB188,GB-NIC-101763,GB-NIC-105105
360G-Gulbenkian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB-CHC-1000147,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
GB-CHC-1009195,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,5,0,0
GB-CHC-1015648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB-CHC-1035628,0,2,0,0,0,4,2,1,2,0,0,5,21,2,9,4,0,37,0,0,7,0,28,24,12,13,7,23,4,0,0,35,2,0,0,0,0,0,0,0,5,31,0,1,0,0,1,2,20,0,4,41,16,3,0,0,0,12,6,0,0,0,1,2,12,88,3,13,0,8,15,4,5,0,1,63,0,4,31,0,88,0,0
GB-CHC-1045304,0,0,1,0,4,0,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17,11,1,0,0,0,0,0,0,0,5,0,3,1,0,24,0,0
GB-CHC-1047625,0,0,3,0,2,5,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,2,0,2,0,3,5,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,2,0,0,0,0,0,4,0,0,0,0,14,3,0,30,0,0
GB-CHC-1050900,0,0,0,0,1,0,0,0,1,0,3,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,3,0,0,3,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0
GB-CHC-1052061,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,1,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0
GB-CHC-1057923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,0,0,0,0,1,3,1,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,16,8,5,0,0,0,0,1,0,0,2,0,0,0,0,17,0,0
GB-CHC-1059652,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB-CHC-1075032,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,3,1,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,7,0,1,0,0,3,0,0
GB-CHC-1075120,0,0,0,0,21,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,9,0,5,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,2,0,0,13,0,15,0,1
GB-CHC-1075920,0,1,0,0,2,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0
GB-CHC-1086516,0,0,1,0,9,1,3,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,4,0,5,0,0,4,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,3,5,0,3,0,0
GB-CHC-1087167,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
GB-CHC-1089893,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB-CHC-1091263,0,0,0,0,37,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,1,4,5,0,0,0,0,2,0,0,0,0,0,2,0,28,3,4,0,4,0,0,1,0,0,6,0,0,0,0,21,0,0
GB-CHC-1093028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB-CHC-1094646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,2,0,0,0,0,6,0,0
GB-CHC-1094935,0,0,0,0,7,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,5,0,1,0,0,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,4,0,6,0,0
