"regno","Name","Latest income","Latest expenditure","Address","Postcode"
207071,"ABRAHAM ALGY BLOOM FOUNDATION",5041,8525,"ONWARD BUILDINGS, 207 DEANSGATE, MANCHESTER","M3 3NW"
214684,"THE DOWAGER COUNTESS ELEANOR PEEL TRUST",716970,557777,"HILL DICKINSON, 50 FOUNTAIN STREET, MANCHESTER","M2 2AS"
215728,"CHARITY KNOWN AS THE SALE ALMSHOUSES",30840,21237,"Mayes Gardens Staff Office, Harrison Street, Manchester","M4 7FN"
217014,"THE MANCHESTER CHARTERED ACCOUNTANTS STUDENTS' SOCIETY",37773,42185,"RSM, 3 Hardman Street, Spinningfields, Manchester","M3 3HF"
221438,"PHARMACIST SUPPORT",0,0,"Pharmacist Support, 196 Deansgate, MANCHESTER","M3 3WF"
221889,"MANCHESTER LOCAL MEDICAL COMMITTEE COMPASSIONATE FUND",4612,2000,"OAK HOUSE, 47 GRAHAM STREET, MANCHESTER","M11 3BB"
222410,"THE ROYAL MUSICAL ASSOCIATION",79984,79143,"4 CHANDOS ROAD, MANCHESTER","M21 0ST"
222478,"THE TEXTILE INSTITUTE",332880,295835,"8TH FLOOR, ST JAMES' BUILDINGS, 79 OXFORD STREET, MANCHESTER","M1 6FQ"
222631,"THE EDWARD MAYES TRUST",0,0,"STAFF OFFICE EDWARD MAYES TRUST, MAYES GARDENS, MANCHESTER","M4 7FN"
222800,"MANCHESTER MEDICAL SOCIETY",109345,134026,"MANCHESTER MEDICAL SOCIETY, C/O ROOM 4.54 SIMON BUILDING, BRUNSWICK PARK, , MANCHESTER","M13 9PL"
223418,"SOCIETY OF FRIENDS - HARDSHAW ESTATES CHARITIES",18211,23991,"FRIENDS MEETING HOUSE, 6 MOUNT STREET, MANCHESTER","M2 5NS"
223882,"HALLE CONCERTS SOCIETY",12183000,9278000,"Halle Orchestra, Bridgewater Hall, Great Bridgewater Street, MANCHESTER","M1 5HA"
224128,"THE W A HUDSON CHARITY",17,0,"27 Scarisbrick Road, MANCHESTER","M19 2BT"
224129,"THE WHITLAM BEQUEST",5,0,"27 Scarisbrick Road, MANCHESTER","M19 2BT"
224148,"MRS LUMS CHARITY",0,0,"MAYES GARDENS STAFF OFFICE, HARRISON STREET, ANCOATS, MANCHESTER","M4 7FN"
224271,"MANCHESTER RELIEF IN NEED CHARITY",63338,49685,"GADDUM CENTRE, GADDUM HOUSE, 6 GREAT JACKSON STREET, MANCHESTER","M15 4AX"
224642,"CATHERINE RICHARDS CHARITY OR STRANGEWAYS WIDOW'S CHARITY",146,0,"MANCHESTER CATHEDRAL, VICTORIA STREET, MANCHESTER","M3 1SX"
225116,"THE LEVENSHULME TRUST FOR THE RELIEF OF SICKNESS AND SUFFERING",757,645,"GADDUM CENTRE, GADDUM HOUSE, 6 GREAT JACKSON STREET, MANCHESTER","M15 4AX"
225453,"THE SATTERFIELD CONVALESCENTS CHARITY",0,0,"GADDUM CENTRE, GADDUM HOUSE, 6 GREAT JACKSON STREET, MANCHESTER","M15 4AX"
225520,"THE CATHERINE CHISHOLM LECTURE FUND",2,100,"MANCHESTER MEDICAL SOCIETY, C/O ROOM 4.54 SIMON BUILDING, BRUNSWICK PARK, , MANCHESTER","M13 9PL"
226154,"ST MATTHIAS'S CLUB FUND",226,837,"21 WHITEWAY STREET, MANCHESTER","M9 5PN"
226918,"BUCKLEY'S CHARITY",43,5,"MANCHESTER CATHEDRAL, VICTORIA STREET, MANCHESTER","M3 1SX"
226919,"CHARITY OF GEORGE PILKINGTON",3396,2850,"MANCHESTER CATHEDRAL, VICTORIA STREET, MANCHESTER","M3 1SX"
