trustee_id,trustee_name,trustee_total_tships,regno
5873,Rabbi Abraham Hassan,3,1071809
5873,Rabbi Abraham Hassan,3,1095687
5873,Rabbi Abraham Hassan,3,1013846
14229,David Neuwirth,9,1123674
14229,David Neuwirth,9,1166641
14229,David Neuwirth,9,1083461
14229,David Neuwirth,9,1109132
14229,David Neuwirth,9,1084316
14229,David Neuwirth,9,1136917
14229,David Neuwirth,9,1183303
14229,David Neuwirth,9,1111457
14229,David Neuwirth,9,1092751
16095,Bernard Donoghue,2,295260
16095,Bernard Donoghue,2,286169
67684,Ian James Wiggett,2,1143128
67684,Ian James Wiggett,2,1158142
163507,Philip Horton,2,515341
163507,Philip Horton,2,1014742
237589,Veronica Mary Watson,2,1080606
237589,Veronica Mary Watson,2,1003309
257869,Peter Van Zeller,3,1067272
257869,Peter Van Zeller,3,1163073
257869,Peter Van Zeller,3,520360
262967,Mr Michael Parksinson BSC,5,1143504
262967,Mr Michael Parksinson BSC,5,214684
262967,Mr Michael Parksinson BSC,5,1162782
262967,Mr Michael Parksinson BSC,5,1123342
262967,Mr Michael Parksinson BSC,5,526330
268745,Rev Patrick Nicholas Mcguire Sma,2,232541
268745,Rev Patrick Nicholas Mcguire Sma,2,242305
326231,Joshua Halpern,3,1096845
326231,Joshua Halpern,3,1014399
326231,Joshua Halpern,3,1094397
413125,Nora Pollard,2,1082107
413125,Nora Pollard,2,1136791
424334,Fayyaz Ahmed Ali,2,1050792
424334,Fayyaz Ahmed Ali,2,518147
424343,Francis Roger Shackleton,3,281892
424343,Francis Roger Shackleton,3,506823
424343,Francis Roger Shackleton,3,800473
435199,Hugh David Mcwilliams,2,251259
435199,Hugh David Mcwilliams,2,519292
435199,Hugh David Mcwilliams,2,251259
442133,Geoffrey Bridson,2,511078
442133,Geoff Bridson,2,511078
442133,Geoff Bridson,2,1001346
458721,Paul Lee,3,526054
458721,Paul Lee,3,526054
458721,Paul Lee,3,526407
458721,Paul Lee,3,526407
458721,Paul Lee,3,526702
458721,Paul Lee,3,526054
458721,Paul Lee,3,526702
487668,Professor Anthony Bowne,7,287589
487668,Professor Anthony Bowne,7,328615
487668,Professor Anthony Bowne,7,801973
487668,Professor Anthony Bowne,7,1108731
487668,Professor Anthony Bowne,7,309998
487668,Professor Anthony Bowne,7,288442
487668,Professor Anthony Bowne,7,1114873
491597,Michael Dyble,3,234651
491597,Michael Dyble,3,225453
491597,Michael Dyble,3,225453
491597,Michael Dyble,3,228916
491597,Michael Dyble,3,225453
491597,Michael Dyble,3,234651
491597,Michael Dyble,3,228916
493892,Nasrullah Khan Moghal,2,1054872
493892,Nasrullah Khan Moghal,2,251259
493892,Nasrullah Khan Moghal,2,251259
494051,Paul Cassidy,2,1141823
494051,Paul Cassidy,2,1132741
495347,Warren James Smith,3,1026752
495347,Warren James Smith,3,234779
495347,Warren James Smith,3,234779
495347,Warren James Smith,3,515341
495347,Warren James Smith,3,1026752
513878,Anthony Jeffrey Tesciuba,2,1015984
513878,Anthony Jeffrey Tesciuba,2,1121320
513878,Tony Tesciuba,2,1015984
522560,Philip Steinberg,2,234332
522560,Philip Steinberg,2,234332
522560,Philip Steinberg,2,526669
542421,Qaisra Shahraz,2,1175945
542421,Qaisra Shahraz,2,1144161
547155,Daniel Herman,2,328645
547155,Daniel Herman,2,506823
556000,Steve James,2,1132532
556000,Steve James,2,1178960
595577,Brian Redman,2,1101439
595577,Brian Redman,2,327952
596925,Hyman Weiss,10,260972
596925,Hyman Weiss,10,1115899
596925,Hyman Weiss,10,326920
596925,Hyman Weiss,10,1117850
596925,Hyman Weiss,10,1098523
596925,Hyman Weiss,10,1115899
596925,Hyman Weiss,10,251737
596925,Hyman Weiss,10,262170
596925,Hyman Weiss,10,1112084
596925,Hyman Weiss,10,262170
596925,Hyman Weiss,10,251737
596925,Hyman Weiss,10,1115778
596925,Hyman Weiss,10,326329
596925,Hyman Weiss,10,1112084
596925,Hyman Weiss,10,1098523
596925,Hyman Weiss,10,260972
596925,Hyman Weiss,10,1115778
596925,Hyman Weiss,10,1117850
596925,Hyman Weiss,10,1117850
596925,Hyman Weiss,10,1115778
596925,Hyman Weiss,10,260972
596925,Hyman Weiss,10,1112084
596925,Hyman Weiss,10,326329
596925,Hyman Weiss,10,262170
596925,Hyman Weiss,10,1115899
596925,Hyman Weiss,10,326920
596925,Hyman Weiss,10,1098523
596925,Hyman Weiss,10,251737
601347,Sandra Badland,2,275063
601347,Sandra Badland,2,222819
607583,Mina Weiss,4,326329
607583,Mina Weiss,4,1096349
607583,Mina Weiss,4,251737
607583,Mina Weiss,4,1096349
607583,Mina Weiss,4,1096349
607583,Mina Weiss,4,262352
607583,Mina Weiss,4,251737
607583,Mina Weiss,4,326329
607583,Mina Weiss,4,262352
607583,Mina Weiss,4,251737
611120,Philip Weiss,5,251737
611120,Philip Weiss,5,326329
611120,Philip Weiss,5,262352
611120,Philip Weiss,5,260972
611120,Philip Weiss,5,251737
611120,Philip Weiss,5,260972
611120,Philip Weiss,5,326329
611120,Philip Weiss,5,260972
611120,Philip Weiss,5,251737
611120,Philip Weiss,5,326920
611120,Philip Weiss,5,260972
611120,Philip Weiss,5,326920
611120,Philip Weiss,5,262352
611120,Philip Weiss,5,262352
611120,Philip Weiss,5,251737
611120,Philip Weiss,5,326920
611120,Philip Weiss,5,326329
612337,Zisel Weiss,4,326329
612337,Zisel Weiss,4,260972
612337,Zisel Weiss,4,262170
612337,Zisel Weiss,4,262352
612337,Zisel Weiss,4,262352
612337,Zisel Weiss,4,260972
612337,Zisel Weiss,4,262170
642887,Jack Valero,4,1176361
642887,Jack Valero,4,236586
642887,Jack Valero,4,268131
642887,Jack Valero,4,1137274
643899,Nigel John Watt MBE,3,1040656
643899,Nigel John Watt MBE,3,1159781
643899,Nigel John Watt MBE,3,1126368
662080,David William Homer,3,510668
662080,David William Homer,3,313186
662080,David William Homer,3,313186
662080,David William Homer,3,505121
662080,David William Homer,3,505121
662080,David William Homer,3,510668
662080,David William Homer,3,313186
687353,David Mchugh,3,222486
687353,David Mchugh,3,223418
687353,David Mchugh,3,1055192
687353,David Mchugh,3,222486
687353,David Mchugh,3,223418
690913,Geoffrey John Lomas,3,1174410
690913,Geoffrey John Lomas,3,236878
690913,Geoffrey John Lomas,3,1055993
690951,Geoffrey Waywell,3,227242
690951,Geoffrey Waywell,3,1017833
690951,Geoffrey Waywell,3,1180670
695815,Kenneth James Johnson FCA,2,236201
695815,Kenneth James Johnson FCA,2,227242
697199,Malcolm Pearson,4,250311
697199,Malcolm Pearson,4,505201
697199,Malcolm Pearson,4,1138016
697199,Malcolm Pearson,4,250311
697199,Malcolm Pearson,4,250311
697199,Malcolm Pearson,4,280356
697199,Malcolm Pearson,4,505201
697199,Malcolm Pearson,4,1138016
697199,Malcolm Pearson,4,280356
697199,Malcolm Pearson,4,1138016
706272,Robert Adrian Levy,3,1048182
706272,Robert Adrian Levy,3,1036115
706272,Robert Adrian Levy,3,279522
706272,Robert Adrian Levy,3,279522
706272,Robert Adrian Levy,3,1036115
706272,Robert Adrian Levy,3,279522
706272,Robert Adrian Levy,3,1048182
712888,Marie Grant,2,1164323
712888,Marie Grant,2,500097
719708,Richard Zoltie,2,519574
719708,Richard Zoltie,2,519574
719708,Richard Zoltie,2,1083242
738568,Sir Thomas Allen CBE Frcm,3,1028426
738568,Sir Thomas Allen CBE Frcm,3,1146791
738568,Sir Thomas Allen CBE Frcm,3,1143295
740007,Bernard Leach,3,1065028
740007,Bernard Leach,3,1174275
740007,Bernard Leach,3,1174275
740007,Bernard Leach,3,1013285
740007,Bernard Leach,3,1013285
740007,Bernard Leach,3,1013285
740007,Bernard Leach,3,1065028
740815,Dr Haytham Al-Khaffaf,2,1126281
740815,Dr Haytham Al-Khaffaf,2,327235
747541,Lady Rhona Bradley,2,1000888
747541,Lady Rhona Bradley,2,1138741
805419,Brian White,5,263473
805419,Brian White,5,1089467
805419,Brian White,5,1097339
805419,Brian White,5,1097339
805419,Brian White,5,257238
805419,Brian White,5,1102830
805419,Brian White,5,263473
805419,Brian White,5,1097339
805419,Brian White,5,257238
805419,Brian White,5,1102830
805419,Brian White,5,263473
805419,Brian White,5,257238
805419,Brian White,5,1089467
807825,Louis Rapaport,3,251259
807825,Louis Rapaport,3,228038
807825,Louis Rapaport,3,228038
807825,Louis Rapaport,3,1118957
807825,Louis Rapaport,3,228038
807825,Louis Rapaport,3,1118957
807825,Louis Rapaport,3,251259
841747,Alan John Bond,2,258085
841747,Alan John Bond,2,509075
847161,Keith Platts,2,510668
847161,Keith Platts,2,505121
847161,Keith Platts,2,505121
880775,David Tomlinson,4,1109703
880775,David Tomlinson,4,1091274
880775,David Tomlinson,4,1130745
880775,David Tomlinson,4,1000888
920346,Geoffrey Arnold Shindler OBE,3,501909
920346,Geoffrey Arnold Shindler OBE,3,255424
920346,Geoffrey Arnold Shindler OBE,3,519574
920346,Geoffrey Arnold Shindler OBE,3,255424
920346,Geoffrey Arnold Shindler OBE,3,255424
920346,Geoffrey Arnold Shindler OBE,3,519574
920346,Geoffrey Arnold Shindler OBE,3,501909
935898,Gordon Mark Flear,2,1069404
935898,Gordon Mark Flear,2,1179181
967691,Sister Clare Kelly,2,251267
967691,Sister Clare Kelly,2,1094190
1023134,Mr Bernardin Weiss,3,262170
1023134,Mr Bernardin Weiss,3,326329
1023134,Mr Bernardin Weiss,3,262352
1023134,Mr Bernardin Weiss,3,262352
1023134,Mr Bernardin Weiss,3,262170
1048282,Kathleen Theresa Robinson,2,1092907
1048282,Kathleen Theresa Robinson,2,1015459
1062819,Jill Lynsey Hulme,2,1128844
1062819,Jill Lynsey Hulme,2,1046278
1100031,Laurie John Powell,2,1143128
1100031,Laurie John Powell,2,1069954
1134863,Paul Griffiths DL,3,1061457
1134863,Paul Griffiths DL,3,1040579
1134863,Paul Griffiths DL,3,1061457
1134863,Paul Griffiths DL,3,515341
1134863,Paul Griffiths DL,3,1040579
1134863,Paul Griffiths DL,3,515341
1134863,Paul Griffiths DL,3,515341
1151902,Eric Silk,3,223418
1151902,Eric Silk,3,1060403
1151902,Eric Silk,3,1063910
1155509,Nasar Mahmood,3,1163023
1155509,Nasar Mahmood,3,1073862
1155509,Nasar Mahmood,3,1163023
1155509,Nasar Mahmood,3,1073862
1155509,Nasar Mahmood,3,1110104
1166381,David Atkinson,2,234602
1166381,David Atkinson,2,227242
1166795,Janet Rosemary Allan,2,1098017
1166795,Janet Rosemary Allan,2,1143639
1166894,Joyce Ashworth,3,245932
1166894,Joyce Ashworth,3,227242
1166894,Joyce Ashworth,3,219049
1167997,Peter Charles Bearon,2,240302
1167997,Peter Charles Bearon,2,227242
1221202,Henry Neumann,2,1072479
1221202,Henry Neumann,2,511374
